Unnamed: 0,erbmi,ertpreat,eudrink,eueat,euexercise,eufastfd,eufdsit,euprpmel,eusoda,eugenhth,codified_bmi,codified_health
392,26.5,60,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,3,1
393,25.200001,45,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3,1
395,39.5,10,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,3,1
398,32.900002,30,1.0,1.0,1.0,1.0,1.0,3.0,2.0,5.0,3,2
399,32.900002,30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3,1
401,22.5,110,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2,1
402,27.299999,30,1.0,1.0,1.0,2.0,1.0,2.0,2.0,3.0,3,1
404,23.200001,25,1.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,2,1
406,28.4,70,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,3,1
407,31.200001,50,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,3,1
409,25.1,40,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3,1
412,26.6,130,1.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,3,1
413,38.099998,60,1.0,2.0,2.0,2.0,1.0,3.0,1.0,2.0,3,1
414,25.700001,45,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,3,1
417,44.900002,88,1.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,3,1
419,34.599998,60,1.0,1.0,2.0,1.0,2.0,2.0,1.0,4.0,3,2
421,33.099998,42,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,3,1
424,25.1,30,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,3,1
425,20.4,10,1.0,2.0,2.0,2.0,1.0,1.0,1.0,4.0,2,2
426,26.6,120,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,3,1
428,31.6,20,1.0,1.0,2.0,1.0,1.0,2.0,1.0,4.0,3,2
429,19.4,90,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2,1
432,29.799999,165,1.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,3,1
433,30.4,60,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,3,1
434,46.599998,90,1.0,1.0,2.0,1.0,2.0,2.0,1.0,4.0,3,2
435,26.200001,30,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,3,1
436,36.599998,150,1.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,3,1
437,29.0,65,1.0,2.0,1.0,1.0,2.0,3.0,1.0,3.0,3,1
438,33.0,0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,3,1
439,20.4,105,1.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,2,1
444,20.1,60,1.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,2,1
449,30.700001,47,1.0,2.0,1.0,2.0,1.0,3.0,2.0,2.0,3,1
450,43.299999,135,1.0,1.0,2.0,2.0,1.0,2.0,2.0,4.0,3,2
451,28.5,10,1.0,1.0,2.0,2.0,2.0,2.0,1.0,3.0,3,1
452,31.5,132,1.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,3,1
453,25.799999,35,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,3,1
456,21.299999,50,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2,1
457,31.200001,45,1.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,3,1
459,24.4,60,1.0,2.0,2.0,1.0,1.0,2.0,2.0,4.0,2,2
460,30.1,45,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,3,1
463,25.0,69,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,3,1
464,28.9,13,1.0,2.0,2.0,1.0,2.0,1.0,2.0,4.0,3,2
465,27.6,75,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,3,1
469,22.1,145,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2,1
471,23.4,95,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2,1
472,25.700001,195,1.0,2.0,2.0,1.0,2.0,1.0,1.0,4.0,3,2
474,29.299999,150,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,3,1
475,48.099998,120,1.0,2.0,2.0,2.0,2.0,1.0,2.0,4.0,3,2
